protein,shap_rank,pca_rank,shap_importance,pca_importance,ppi_degree,in_shap_top20,in_pca_top20,in_overlap
ADAR|ADAR1,1,34,0.32472534075286547,1.179989945118411,0.0,True,False,False
ARID1A|ARID1A,2,4,0.18447214720877242,1.3334863069185172,4.696,True,True,True
COPS5|JAB1,3,1,0.18364629582526215,1.497922098008717,4.831,True,True,True
TIGAR|TIGAR,5,43,0.15474893540526227,1.1496222174176134,0.981,True,False,False
CASP3|Caspase-3,7,5,0.1486687690895751,1.3278382584483,24.142,True,True,True
PARP1|PARP1,9,22,0.13348771363440948,1.237348011517746,23.284,True,False,False
CTNNA1|alpha-Catenin,22,8,0.06750256049088774,1.3075833865349658,7.473,False,True,False
NKX2-1|TTF1,29,7,0.06000963935577881,1.3127262899618855,0.888,False,True,False
BCL2|Bcl-2,38,49,0.05234287925763124,1.1279379709936368,26.452,False,False,False
TGM2|Transglutaminase,41,48,0.05107426502483224,1.1294014211456094,0.997,False,False,False
G6PD|G6PD,42,46,0.051055518058205906,1.1363265614079285,1.9560001,False,False,False
FN1|Fibronectin,44,45,0.050465912437560316,1.1464254580726991,19.480999,False,False,False
CDKN1B|p27_pT157,46,41,0.048665554567951574,1.1547650561182479,0.0,False,False,False
KIT|c-Kit,48,18,0.048248349143005104,1.2428244275086153,13.186,False,True,False
