cancer_type,n_samples,n_events,event_rate,graph_c_index,linear_c_index,advantage,winner
TGCT,10,363,36.3546700872,0.8125,0.375,0.4375,Graph
GBM,22,572,26.027610158,0.4583333432674408,0.4444444444444444,0.013888898822996376,Graph
BLCA,32,934,29.198310154875003,0.4681818187236786,0.5318181818181819,-0.06363636309450327,Linear
THCA,37,1677,45.345374962162154,0.36021506786346436,0.5376344086021505,-0.17741934073868615,Linear
LUAD,32,1072,33.52257783440625,0.4427083432674408,0.734375,-0.2916666567325592,Linear
KIRC,45,1599,35.551756510555556,0.375,0.7047413793103449,-0.32974137931034486,Linear
HNSC,19,597,31.460938568263163,0.38461539149284363,0.7307692307692307,-0.3461538392763871,Linear
BRCA,86,2484,28.89105006382558,0.2677556872367859,0.6200284090909091,-0.35227272185412317,Linear
LIHC,17,776,45.696195430529414,0.4047619104385376,0.7619047619047619,-0.35714285146622426,Linear
OV,39,1207,30.966994672512822,0.3642857074737549,0.8,-0.43571429252624516,Linear
UCEC,42,1724,41.05160491671428,0.2918919026851654,0.7621621621621621,-0.47027025947699674,Linear
PRAD,35,1388,39.66954569794285,0.2971014380455017,0.7934782608695652,-0.4963768228240635,Linear
KIRP,21,821,39.10407244380952,0.2874999940395355,0.8,-0.5125000059604645,Linear
LUSC,29,777,26.808964587379315,0.1547619104385376,0.7023809523809523,-0.5476190419424147,Linear
SKCM,32,1021,31.912663972249998,0.2742857038974762,0.8457142857142858,-0.5714285818168096,Linear
READ,11,497,45.249815441818185,0.0833333358168602,0.6666666666666666,-0.5833333308498064,Linear
COAD,33,1504,45.58156772299999,0.21978022158145905,0.8241758241758241,-0.6043956025943651,Linear
LGG,42,1227,29.228642503738094,0.16543209552764893,0.8691358024691358,-0.7037037069414869,Linear
SARC,22,734,33.38444111895455,0.1145833358168602,0.8541666666666666,-0.7395833308498064,Linear
PAAD,11,232,21.169381954181816,0.20000000298023224,1.0,-0.7999999970197678,Linear
STAD,33,1346,40.80951541154545,0.12903225421905518,1.0,-0.8709677457809448,Linear
CESC,16,577,36.1126179439375,0.07692307978868484,1.0,-0.9230769202113152,Linear
ESCA,12,224,18.701164920250005,0.03703703731298447,1.0,-0.9629629626870155,Linear
