cancer_type,n_samples,n_events,event_rate,graph_c_index,linear_c_index,advantage,winner
CHOL,29,834,28.760006032172416,0.4416666626930237,0.6083333333333333,-0.1666666706403096,Linear
KICH,62,2179,35.145350594403226,0.36900779604911804,0.5418060200668896,-0.17279822401777156,Linear
MESO,46,1422,30.933073754108694,0.42105263471603394,0.5986842105263158,-0.17763157581028188,Linear
DLBC,33,638,19.35221631521212,0.21739129722118378,0.43478260869565216,-0.21739131147446838,Linear
PCPG,79,3080,38.99634739570886,0.3379085063934326,0.5712418300653594,-0.23333332367192683,Linear
ESCA,123,3712,30.18450048420325,0.33502304553985596,0.5829493087557603,-0.24792626321590439,Linear
KIRP,206,9755,47.35854470927671,0.3303867280483246,0.6061878453038674,-0.2758011172555428,Linear
KIRC,446,13439,30.132945776047087,0.3221409022808075,0.6130578275218826,-0.29091692524107515,Linear
UCS,46,1010,21.97212371295652,0.25,0.5980392156862745,-0.3480392156862745,Linear
BLCA,328,9336,28.464405736283535,0.2805764973163605,0.639367816091954,-0.35879131877559356,Linear
CESC,163,4216,25.86743649855828,0.3508928716182709,0.7147321428571428,-0.36383927123887194,Linear
PAAD,115,4070,35.3938229627913,0.32422587275505066,0.689738919247116,-0.3655130464920653,Linear
OV,385,16204,42.08967217271689,0.2840806841850281,0.6828622790372516,-0.39878159485222353,Linear
LIHC,172,7751,45.066406409796514,0.2487100064754486,0.6883384932920537,-0.43962848681660505,Linear
UCEC,421,15287,36.312126056097384,0.27803218364715576,0.7297029702970297,-0.4516707866498739,Linear
BRCA,857,32471,37.88963128636289,0.2692522704601288,0.7340808816446063,-0.4648286111844775,Linear
TGCT,104,3418,32.86686847700962,0.3026607632637024,0.770509977827051,-0.4678492145633486,Linear
SKCM,315,10537,33.45226223269524,0.3055555522441864,0.7906911928651059,-0.4851356406209195,Linear
HNSC,194,4965,25.59712098137629,0.2111881524324417,0.6970266776354448,-0.4858385252030031,Linear
ACC,45,1879,41.761003532800004,0.25102880597114563,0.742798353909465,-0.4917695479383194,Linear
STAD,326,12654,38.81698783679755,0.27014896273612976,0.7981760886172651,-0.5280271258811353,Linear
THCA,363,11910,32.811052179079894,0.24275963008403778,0.7764505119453925,-0.5336908818613547,Linear
GBM,215,7208,33.52990333655349,0.2139529436826706,0.7681108781737712,-0.5541579344911006,Linear
LGG,420,16484,39.24818045069524,0.2002858966588974,0.7668615984405458,-0.5665757017816484,Linear
LUSC,285,7913,27.76736693331228,0.19522790610790253,0.8001762780156132,-0.6049483719077107,Linear
COAD,330,8712,26.402799073363635,0.17876386642456055,0.7891045958795563,-0.6103407294549957,Linear
SARC,213,4886,22.9410567142723,0.16774848103523254,0.7986815415821501,-0.6309330605469176,Linear
THYM,89,3376,37.939679651235956,0.171875,0.825,-0.653125,Linear
PRAD,349,14792,42.385436512226356,0.09682582318782806,0.7751400373432915,-0.6783142141554634,Linear
READ,111,2895,26.08160976765766,0.12834224104881287,0.8162719633307869,-0.687929722281974,Linear
LUAD,319,15675,49.14076778062382,0.14956530928611755,0.8514006654502523,-0.7018353561641347,Linear
UVM,12,254,21.19428828325,0.5,,,Linear
