cancer_type,n_samples,n_events,event_rate,graph_c_index,linear_c_index,advantage,winner
CESC,163,4216,25.86743649855828,0.43281251192092896,0.7084821428571428,-0.2756696309362139,Linear
PCPG,79,3080,38.99634739570886,0.26274511218070984,0.6196078431372549,-0.3568627309565451,Linear
KIRC,446,13439,30.132945776047087,0.2511981725692749,0.6186827378390013,-0.3674845652697264,Linear
UCS,46,1010,21.97212371295652,0.2647058963775635,0.6372549019607843,-0.3725490055832208,Linear
ESCA,123,3712,30.18450048420325,0.22350230813026428,0.6013824884792627,-0.3778801803489984,Linear
MESO,46,1422,30.933073754108694,0.19736842811107635,0.5756578947368421,-0.3782894666257658,Linear
PAAD,115,4070,35.3938229627913,0.312386155128479,0.7040072859744991,-0.3916211308460201,Linear
BLCA,328,9336,28.464405736283535,0.2416038066148758,0.6347880747126436,-0.39318426809776785,Linear
KICH,62,2179,35.145350594403226,0.17391304671764374,0.5808249721293199,-0.4069119254116762,Linear
KIRP,206,9755,47.35854470927671,0.18784530460834503,0.6095027624309393,-0.42165745782259423,Linear
DLBC,33,638,19.35221631521212,0.056521739810705185,0.49130434782608695,-0.43478260801538177,Linear
OV,385,16204,42.08967217271689,0.22810345888137817,0.6674323379606512,-0.439328879079273,Linear
ACC,45,1879,41.761003532800004,0.26543208956718445,0.7160493827160493,-0.4506172931488649,Linear
LIHC,172,7751,45.066406409796514,0.20467835664749146,0.7234262125902993,-0.5187478559428078,Linear
UCEC,421,15287,36.312126056097384,0.20894183218479156,0.728125,-0.5191831678152085,Linear
TGCT,104,3418,32.86686847700962,0.24722838401794434,0.7849223946784922,-0.5376940106605479,Linear
SARC,213,4886,22.9410567142723,0.23732250928878784,0.7756592292089249,-0.5383367199201371,Linear
HNSC,194,4965,25.59712098137629,0.18298272788524628,0.7273475143965213,-0.5443647865112751,Linear
LGG,420,16484,39.24818045069524,0.18224821984767914,0.7739311241065627,-0.5916829042588836,Linear
SKCM,315,10537,33.45226223269524,0.2085655927658081,0.8057413600891862,-0.5971757673233781,Linear
BRCA,857,32471,37.88963128636289,0.15228407084941864,0.7515365200470108,-0.5992524491975921,Linear
THCA,363,11910,32.811052179079894,0.16669917106628418,0.7773768893222818,-0.6106777182559976,Linear
GBM,215,7208,33.52990333655349,0.15606801211833954,0.7678779408339157,-0.6118099287155762,Linear
STAD,326,12654,38.81698783679755,0.20120321214199066,0.813598166539343,-0.6123949543973524,Linear
LUSC,285,7913,27.76736693331228,0.16343490779399872,0.7960211533618736,-0.6325862455678749,Linear
COAD,330,8712,26.402799073363635,0.15035657584667206,0.7988510301109351,-0.648494454264263,Linear
LUAD,319,15675,49.14076778062382,0.15219491720199585,0.8548352473972308,-0.702640330195235,Linear
PRAD,349,14792,42.385436512226356,0.09349159896373749,0.8008802347292612,-0.7073886357655237,Linear
THYM,89,3376,37.939679651235956,0.12250000238418579,0.835,-0.7124999976158142,Linear
READ,111,2895,26.08160976765766,0.09663865715265274,0.8319327731092437,-0.735294115956591,Linear
