protein,shap_rank,pca_rank,shap_importance,pca_importance,ppi_degree,in_shap_top20,in_pca_top20,in_overlap
ADAR|ADAR1,1,34,0.51316294934888,1.179989945118411,0.0,True,False,False
ARID1A|ARID1A,3,4,0.21014446907752576,1.3334863069185172,4.696,True,True,True
COPS5|JAB1,4,1,0.2100207965627071,1.497922098008717,4.831,True,True,True
CASP3|Caspase-3,6,5,0.17963342667566667,1.3278382584483,24.142,True,True,True
TIGAR|TIGAR,7,43,0.1767054585318963,1.1496222174176134,0.981,True,False,False
PARP1|PARP1,12,22,0.1240267451653512,1.237348011517746,23.284,True,False,False
TGM2|Transglutaminase,30,48,0.07631103793072916,1.1294014211456094,0.997,False,False,False
BCL2|Bcl-2,32,49,0.07585286553798373,1.1279379709936368,26.452,False,False,False
KIT|c-Kit,34,18,0.07519863994414135,1.2428244275086153,13.186,False,True,False
SRC|Src_pY416,36,40,0.07138553214091996,1.15603163043351,0.0,False,False,False
CTNNA1|alpha-Catenin,38,8,0.07052162779800711,1.3075833865349658,7.473,False,True,False
CASP9|Caspase-9,41,9,0.06979922447784107,1.307129818019285,9.335,False,True,False
EIF4EBP1|4E-BP1_pS65,45,16,0.06709860446465722,1.248015025480116,0.0,False,True,False
RAD50|Rad50,49,6,0.06397324306250161,1.3177201111067474,7.521,False,True,False
